20210525|78|50
20210530|0|63
20210531|0|0
20210628|0|0
20210707|204|0
20210712|2.5|250
20210808|247|0
20210919|292|0
20211109|12|0
20211111|71|0
20211118|0|0
20211121|0|12
20211122|0|0
20211226|90|0
20211228|0|0
20211229|0|0
20211231|0|0
20220101|0|0
20220108|0|0
20220507|0|355
20220510|15|0
20220514|0|0
20220515|0|0
20220519|0|0
20220521|0|0
20220524|0|0
20220525|56|0
20220526|36|0
20220527|132|0
20220528|0|0
20220529|843.5|0
20220606|1501|0
20220607|301|0
20220608|0|0
20220609|374|0
20220610|1660|0
20220612|0|0
