extra_producto|extra_producto|531|producto_extra||531|
recargas|recargas|100|recargas||100|
malboro suelto|malboro suelto|72|malboro||72|
dulceria|dulceria|54.0|dulceria||54.0|
cigarro|cigarro_suelto|53|cigarro_suelto||53|
7501064191886|modelo especial laton 473ml|20|corona||20|
7501064194139|victoria laton 473ml|13|corona||13|
75007614|coca-cola 600ml|7|coca cola||7|
7501055310227|coca-cola retornable 2.5lt|5|coca cola||5|
7501055355310|coca 250ml|5|coca cola||5|
tortillas|tortillas|5|tortillas||5|
7501049967062|sol clamato 473ml|5|indio||5|
7501055328345|coca 400ml|5|coca cola||5|
041789001864|maruchan habanero 64g|4|casa vargas||4|
7501086801046|agua e pura 1l|4|epura||4|
7501000112784|nito 62g|4|bimbo dulce||4|
7500810000465|takis fuego 70g|4|barcel||4|
7501011123588|doritos nacho 62g|4|sabritas||4|
75001322|marlboro rojo 20|4|malboro||4|
758104000159|agua bonafont 1.5Lts|4|bonafont||4|
758104001712|bonafont agua 600ml|3|bonafont||3|
7501013100822|bida 250ml guallava|3|jumex||3|
7501055333844|del valle mango 1lt|3|coca cola||3|
7501055912414|yougurt 125g|2|alpura||2|
7506192507714|amper blueberry 473ml|2|bonafont gatorade||2|
7500478006175|chetos flamin hot 106g|2|sabritas||2|
7506192508698|mexicana400ml|2|pepsi||2|
7501030420859|mantecadas con chispas 190g|2|bimbo dulce||2|
7506192508216|amper reactor 473ml|2|bonafont gatorade||2|
032239052017|del valle|2|coca cola||2|
7503032991900|chips jalapeño|2|barcel||2|
7501056900168|paleta bubaloo mora 16.6g|2|mondelez||2|
7501049917296|sol chelada|2|corona||2|
7622210267863|halls miel-limón 25'2g|2|mondelez||2|
7501011101456|sabritas sal  42g|2|sabritas||2|
7501011104099|rufles queso 52g|2|sabritas||2|
613008738846|arizona sandia 680ml|2|jumex||2|
032239052000|del valle vidrio|2|coca cola||2|
7501441604121|jarritos-piña  2Lts|2|pepsi||2|
7500478026760|doritos dinamita70g|2|marinela||2|
7500478008032|rufles queso bolsaza 68g|2|sabritas||2|
7501000142200|bigotes 60g|2|tia rosa||2|
7501022014066|7up 355ml|2|pepsi||2|
75019303|indioi 1.2L|2|indio||2|
7500810005026|chipotles 55gr|2|barcel||2|
758104006526|bonafont levite 1 lt coco|2|bonafont||2|
7501295600126|leche entera santa clara 1l|2|santa clara||2|
7501086800636|epura 2lt|2|epura||2|
7501030426905|mini pay piña 110g|1|marinela||1|
7503034672043|chipotles 58gr chipotle y queso|1|barcel||1|
7501000153374|submarinos fresa 105g|1|marinela||1|
7506205802355|choco milk 22g|1|dicorsa||1|
7501062700639|chipotles morena ch|1|casa vargas||1|
7501055305230|fanta fresa 600ml|1|coca cola||1|
7501125174797|electrolit mora azul|1|bonafont gatorade||1|
7501073839885|peñafiel limonada 600ml|1|coca cola||1|
